"","Treatment","Subject","Task","Time","Choice","Reward","Trial","Day","Ones","AllTrials"
"1","T",1.1,"0P005_WTL",55,-1,1,1,1,1,1
"2","T",1.1,"0P005_WTL",107,-1,1,1,2,1,101
"3","T",1.1,"0P005_WTL",1586,1,-1,1,3,1,201
"4","T",1.1,"0P005_WTL",1584,1,1,1,4,1,280
"5","T",1.1,"0P005_WTL",1168,1,1,1,5,1,380
"6","T",1.1,"0P005_WTR",663,-1,-1,1,6,1,480
"7","T",1.1,"0P005_WTR",108,-1,1,1,7,1,580
"8","T",1.1,"0P005_WTR",58,1,1,1,8,1,680
"9","T",1.1,"0P005_WTR",53,1,1,1,9,1,780
"10","T",1.1,"0P005_WTR",884,1,-1,1,10,1,880
"11","T",1.2,"0P005_WTL",48,1,1,1,1,1,1
"12","T",1.2,"0P005_WTL",77,1,1,1,2,1,31
"13","T",1.2,"0P005_WTL",131,1,1,1,3,1,77
"14","T",1.2,"0P005_WTL",1743,1,1,1,4,1,86
"15","T",1.2,"0P005_WTL",1266,1,1,1,5,1,175
"16","T",1.2,"0P005_WTR",305,-1,-1,1,6,1,275
"17","T",1.2,"0P005_WTR",1168,1,1,1,7,1,375
"18","T",1.2,"0P005_WTR",61,-1,-1,1,8,1,475
"19","T",1.2,"0P005_WTR",85,1,1,1,9,1,575
"20","T",1.2,"0P005_WTR",91,1,1,1,10,1,675
"21","T",2.3,"0P005_WTL",673,-1,-1,1,1,1,1
"22","T",2.3,"0P005_WTL",852,-1,-1,1,2,1,70
"23","T",2.3,"0P005_WTL",2681,1,-1,1,3,1,129
"24","T",2.3,"0P005_WTL",1349,-1,-1,1,4,1,134
"25","T",2.3,"0P005_WTL",1213,1,1,1,5,1,204
"26","T",2.3,"0P005_WTR",1193,-1,-1,1,6,1,294
"27","T",2.3,"0P005_WTR",1290,-1,-1,1,7,1,394
"28","T",2.3,"0P005_WTR",124,1,1,1,8,1,494
"29","T",2.3,"0P005_WTR",207,1,1,1,9,1,594
"30","T",2.3,"0P005_WTR",1046,1,1,1,10,1,694
"31","T",2.4,"0P005_WTL",378,-1,-1,1,1,1,1
"32","T",2.4,"0P005_WTL",463,1,1,1,2,1,11
"33","T",2.4,"0P005_WTL",1243,1,1,1,3,1,21
"34","T",2.4,"0P005_WTL",1648,1,1,1,4,1,34
"35","T",2.4,"0P005_WTL",1651,1,1,1,5,1,134
"36","T",2.4,"0P005_WTR",1679,1,1,1,6,1,234
"37","T",2.4,"0P005_WTR",152,-1,-1,1,7,1,335
"38","T",2.4,"0P005_WTR",44,-1,1,1,8,1,436
"39","T",2.4,"0P005_WTR",76,-1,-1,1,9,1,536
"40","T",2.4,"0P005_WTR",1388,1,-1,1,10,1,636
"41","S",3.1,"0P005_WTL",768,1,1,1,1,1,1
"42","S",3.1,"0P005_WTL",633,-1,1,1,2,1,39
"43","S",3.1,"0P005_WTL",745,1,-1,1,3,1,116
"44","S",3.1,"0P005_WTL",680,-1,-1,1,4,1,124
